cell_id,grid_x,grid_y,area_km2,building_count,building_footprint_m2,median_building_footprint_m2,building_footprint_share,building_density_km2,poi_count,poi_density_km2,poi_healthcare,poi_healthcare_density_km2,poi_education,poi_education_density_km2,poi_food_drink,poi_food_drink_density_km2,poi_retail_markets,poi_retail_markets_density_km2,poi_transport,poi_transport_density_km2,poi_civic_religious,poi_civic_religious_density_km2,poi_recreation_culture,poi_recreation_culture_density_km2,poi_other,poi_other_density_km2,distance_healthcare_m,distance_education_m,distance_market_m,distance_park_m,distance_transport_m,landuse_residential_share,landuse_commercial_share,landuse_industrial_share,landuse_institutional_share,landuse_green_share,landuse_transport_share,landuse_other_share,mapped_landuse_share,road_length_km,road_density_km_km2,intersection_count,intersection_density_km2,cell_neighbor_count,cell_degree_centrality,cell_betweenness_centrality,cluster_id,pca_1,pca_2,urban_class
C014_010,14,10,0.5625,2033.0,222925.030051,96.296709,0.396311,3614.222222,300,533.333333,13,23.111111,25,44.444444,17,30.222222,53,94.222222,4,7.111111,5,8.888889,3,5.333333,180,320.0,142.936056,73.019111,16.901858,159.36901,158.988217,0.207609,0.0,0.0,0.0,0.006386,0.0,0.0,0.213995,16.262092,28.910387,159,282.666667,8,0.012461,0.031819,2,4.7509,0.15031,Cluster 2 · recreation/culture-rich / transport-POI-rich
C014_011,14,11,0.5625,269.0,75988.428967,214.465745,0.135091,478.222222,440,782.222222,7,12.444444,17,30.222222,41,72.888889,98,174.222222,5,8.888889,4,7.111111,14,24.888889,254,451.555556,228.722389,213.308684,102.541876,207.971319,341.805101,0.112156,0.0,0.006918,0.0,0.043952,0.0,0.0,0.163027,10.050948,17.868351,85,151.111111,8,0.012461,0.033549,6,3.478942,1.271958,Cluster 6 · high building coverage / retail-rich
C014_012,14,12,0.5625,549.0,209284.349046,286.569607,0.372061,976.0,1501,2668.444444,29,51.555556,76,135.111111,145,257.777778,212,376.888889,27,48.0,19,33.777778,34,60.444444,959,1704.888889,150.761276,17.49575,80.465229,105.547085,6.857623,0.054205,0.0,0.0,0.0,0.0,0.0,0.0,0.054205,13.763299,24.468087,113,200.888889,8,0.012461,0.034919,2,7.17552,0.972214,Cluster 2 · recreation/culture-rich / transport-POI-rich
C014_013,14,13,0.5625,2464.0,215448.945495,20.523691,0.38302,4380.444444,798,1418.666667,20,35.555556,39,69.333333,85,151.111111,100,177.777778,7,12.444444,12,21.333333,12,21.333333,523,929.777778,59.522047,79.273845,120.502409,139.501882,75.143371,0.134043,0.0,0.0,0.0,0.0,0.0,0.0,0.134043,12.481371,22.189103,112,199.111111,8,0.012461,0.035945,2,5.715115,0.55758,Cluster 2 · recreation/culture-rich / transport-POI-rich
C014_014,14,14,0.5625,508.0,202875.55471,336.448787,0.360668,903.111111,1094,1944.888889,29,51.555556,32,56.888889,127,225.777778,199,353.777778,17,30.222222,18,32.0,19,33.777778,653,1160.888889,22.042774,51.225592,42.650815,51.086945,21.6497,0.002674,0.0,0.0,0.0,0.112402,0.0,0.000671,0.115747,12.287226,21.843957,89,158.222222,8,0.012461,0.036742,2,7.008955,1.408089,Cluster 2 · recreation/culture-rich / transport-POI-rich
C014_015,14,15,0.5625,435.0,146310.468701,287.112637,0.260107,773.333333,319,567.111111,10,17.777778,19,33.777778,48,85.333333,27,48.0,3,5.333333,4,7.111111,10,17.777778,198,352.0,137.046402,162.181877,46.103054,120.083445,240.757028,0.0,0.0,0.0,0.005182,0.189068,0.0,0.0,0.19425,10.679627,18.986004,71,126.222222,8,0.012461,0.037125,2,4.072152,1.540216,Cluster 2 · recreation/culture-rich / transport-POI-rich
C014_016,14,16,0.5625,617.0,145510.017319,149.599603,0.258684,1096.888889,217,385.777778,15,26.666667,8,14.222222,24,42.666667,33,58.666667,4,7.111111,7,12.444444,4,7.111111,122,216.888889,124.27032,230.844426,237.256221,246.5856,199.29644,0.0,0.0,0.0,0.021324,0.01993,0.0,0.005473,0.046727,9.372651,16.662491,51,90.666667,8,0.012461,0.037147,6,3.257879,1.137599,Cluster 6 · high building coverage / retail-rich
C014_017,14,17,0.5625,1505.0,251610.28369,166.317772,0.447307,2675.555556,738,1312.0,23,40.888889,36,64.0,27,48.0,124,220.444444,10,17.777778,11,19.555556,12,21.333333,495,880.0,121.44636,20.347398,53.812553,502.568301,120.397716,0.450434,0.0,0.0,0.0,0.007889,0.0,0.016628,0.474951,11.606702,20.634137,69,122.666667,8,0.012461,0.036854,2,5.587943,0.498353,Cluster 2 · recreation/culture-rich / transport-POI-rich
C014_018,14,18,0.5625,541.0,71615.28246,81.740793,0.127316,961.777778,99,176.0,3,5.333333,10,17.777778,14,24.888889,10,17.777778,2,3.555556,1,1.777778,0,0.0,59,104.888889,330.984774,151.253582,129.66212,640.860138,176.134948,0.006702,0.005103,0.0,0.0,0.43586,0.0,0.735884,1.0,10.295547,18.303195,33,58.666667,8,0.012461,0.036231,3,1.673635,1.84873,Cluster 3 · building-dense / limited recreation POIs
C014_019,14,19,0.5625,1228.0,106667.00672,66.272212,0.18963,2183.111111,148,263.111111,6,10.666667,13,23.111111,11,19.555556,17,30.222222,2,3.555556,2,3.555556,0,0.0,97,172.444444,407.033258,122.194041,239.988333,571.473636,396.631054,0.214723,0.0,0.150284,0.0,0.046521,0.0,0.065001,0.476529,7.056524,12.544932,34,60.444444,8,0.012461,0.035263,6,1.560914,0.632874,Cluster 6 · high building coverage / retail-rich
