rank,node_from,node_to,pressure_score,route_count,road_class,names
16,34690,34730,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
17,34725,34786,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
18,34725,34730,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
19,34785,34788,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
20,34785,34789,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
21,34786,34787,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
22,34787,34788,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
23,34789,34890,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': [['bn', 'ঢাকা ময়মনসিংহ মহাসড়ক'], ['en', 'Dhaka Mymensigh Highway']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': None, 'side': None}]}"
24,34866,34890,86.864712,679,trunk,"{'primary': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'common': None, 'rules': [{'variant': 'common', 'language': 'bn', 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': [0.0, 0.936050811], 'side': None}, {'variant': 'common', 'language': 'en', 'perspectives': None, 'value': 'Dhaka Mymensigh Highway', 'between': [0.0, 0.936050811], 'side': None}, {'variant': 'common', 'language': None, 'perspectives': None, 'value': 'ঢাকা ময়মনসিংহ মহাসড়ক', 'between': [0.0, 0.936050811], 'side': None}, {'variant': 'common', 'language': 'en', 'perspectives': None, 'value': 'Airport Circle', 'between': [0.936050811, 1.0], 'side': None}, {'variant': 'common', 'language': None, 'perspectives': None, 'value': 'বিমানবন্দর গোলচক্কর', 'between': [0.936050811, 1.0], 'side': None}]}"
25,33293,33294,79.219115,600,unclassified,"{'primary': 'Arichpur Masjid Road', 'common': None, 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'Arichpur Masjid Road', 'between': None, 'side': None}]}"
