category,count
uncategorized,7242
professional_services,3618
clothing_store,3469
event_planning,2997
travel_services,2826
restaurant,2820
shopping,2763
landmark_and_historical_building,2682
womens_clothing_store,2197
college_university,1918
educational_services,1851
education,1830
software_development,1799
school,1669
community_services_non_profits,1460
mobile_phone_store,1110
hospital,1083
furniture_store,1083
electronics,1076
real_estate,1015
