cell_id,grid_x,grid_y,area_km2,building_count,building_footprint_m2,median_building_footprint_m2,building_footprint_share,building_density_km2,poi_count,poi_density_km2,poi_healthcare,poi_healthcare_density_km2,poi_education,poi_education_density_km2,poi_food_drink,poi_food_drink_density_km2,poi_retail_markets,poi_retail_markets_density_km2,poi_transport,poi_transport_density_km2,poi_civic_religious,poi_civic_religious_density_km2,poi_recreation_culture,poi_recreation_culture_density_km2,poi_other,poi_other_density_km2,distance_healthcare_m,distance_education_m,distance_market_m,distance_park_m,distance_transport_m,landuse_residential_share,landuse_commercial_share,landuse_industrial_share,landuse_institutional_share,landuse_green_share,landuse_transport_share,landuse_other_share,mapped_landuse_share,road_length_km,road_density_km_km2,intersection_count,intersection_density_km2,cell_neighbor_count,cell_degree_centrality,cell_betweenness_centrality,cluster_id,pca_1,pca_2,urban_class,walk_node,walk_snap_distance_m,walk_distance_healthcare_m,walk_minutes_healthcare,walk_unreachable_healthcare,walk_distance_education_m,walk_minutes_education,walk_unreachable_education,walk_distance_market_m,walk_minutes_market,walk_unreachable_market,walk_distance_park_m,walk_minutes_park,walk_unreachable_park,walk_distance_transport_m,walk_minutes_transport,walk_unreachable_transport,walk_healthcare_10min_count,walk_healthcare_15min_count,walk_healthcare_30min_count,walk_education_10min_count,walk_education_15min_count,walk_education_30min_count,walk_market_10min_count,walk_market_15min_count,walk_market_30min_count,walk_park_10min_count,walk_park_15min_count,walk_park_30min_count,walk_transport_10min_count,walk_transport_15min_count,walk_transport_30min_count,drive_node,drive_minutes_healthcare,walk_drive_ratio_healthcare,drive_minutes_education,walk_drive_ratio_education,drive_minutes_market,walk_drive_ratio_market,drive_minutes_park,walk_drive_ratio_park,drive_minutes_transport,walk_drive_ratio_transport,built_intensity_proxy,service_gap_score,service_desert_score,largest_service_gap,walk_unreachable_service_count,heat_exposure_score,air_exposure_score,green_deficit_score,environmental_burden_score
C011_015,11,15,0.5625,937.0,130340.032829,63.646436,0.231716,1665.777778,176,312.888889,7,12.444444,11,19.555556,10,17.777778,26,46.222222,0,0.0,9,16.0,3,5.333333,110,195.555556,82.513821,343.596051,301.391529,725.435342,817.012729,0.0,0.0,0.0,0.004286,0.32166,0.0,0.046401,0.372348,9.399784,16.710726,51,90.666667,8,0.012461,0.037751,6,2.19365,1.450749,Cluster 6 · high building coverage / retail-rich,20189,28.931911,218.963608,2.737045,False,462.153737,5.776922,False,431.405448,5.392568,False,1239.115411,15.488943,False,1168.077616,14.60097,False,8,13,98,21,45,351,16,24,176,0,0,17,0,1,47,13524501046,0.427059,6.409058,0.734874,7.861101,0.427059,12.627225,3.126613,4.953905,2.860852,5.103714,50.155521,41.368585,28.996611,park,0,52.838,54.813,20.723,45.5
C011_016,11,16,0.5625,1069.0,111483.364609,42.627806,0.198193,1900.444444,102,181.333333,4,7.111111,16,28.444444,5,8.888889,20,35.555556,1,1.777778,5,8.888889,2,3.555556,49,87.111111,361.751059,178.525621,361.751059,455.98522,608.5912,0.0027,0.0,0.0,0.0,0.088149,0.0,0.0,0.090849,9.42343,16.752765,51,90.666667,8,0.012461,0.037923,6,1.790756,1.05507,Cluster 6 · high building coverage / retail-rich,20203,32.532195,547.712286,6.846404,False,261.271366,3.265892,False,547.712286,6.846404,False,1792.409924,22.405124,False,1271.992805,15.89991,False,3,6,34,17,22,145,9,11,65,0,0,3,0,0,20,11303873420,0.978165,6.999232,0.433543,7.533037,0.978165,6.999232,3.396417,6.596694,2.544641,6.248391,61.741835,48.279549,37.197027,park,0,51.19,56.26,16.369,44.259
C011_017,11,17,0.5625,2217.0,137015.536823,28.040723,0.243583,3941.333333,47,83.555556,4,7.111111,8,14.222222,2,3.555556,7,12.444444,1,1.777778,2,3.555556,1,1.777778,22,39.111111,487.53439,170.610497,269.607107,1000.153206,160.017232,0.221391,0.0,0.0,0.016825,0.059316,0.0,0.0,0.297531,9.741551,17.318313,58,103.111111,8,0.012461,0.037788,3,1.443672,0.712163,Cluster 3 · building-dense / limited recreation POIs,20390,19.856335,602.436948,7.530462,False,169.81469,2.122684,False,436.497729,5.456222,False,1273.416584,15.917707,False,169.81469,2.122684,False,2,7,23,8,16,90,1,2,44,0,0,2,1,3,8,9986624131,0.935361,8.050861,0.220658,9.619795,0.854423,6.385852,1.843073,8.636502,0.220658,9.619795,81.622602,47.433904,42.203633,park,0,61.641,67.453,28.709,55.442
C011_018,11,18,0.5625,1212.0,155489.053905,94.596199,0.276425,2154.666667,219,389.333333,10,17.777778,23,40.888889,26,46.222222,33,58.666667,3,5.333333,2,3.555556,1,1.777778,121,215.111111,249.147799,262.968583,153.306279,387.520699,325.747083,0.0,0.0,0.0,0.0,0.060444,0.0,0.068477,0.128921,10.572681,18.795878,36,64.0,8,0.012461,0.037206,6,2.692186,0.91893,Cluster 6 · high building coverage / retail-rich,40414,71.124328,638.111668,7.976396,False,450.863457,5.635793,False,450.863457,5.635793,False,885.926899,11.074086,False,768.36985,9.604623,False,2,6,12,7,17,51,5,10,23,0,1,1,1,1,8,7846232857,1.186969,6.719973,0.880718,6.399091,0.880718,6.399091,1.561031,7.094084,1.417555,6.775487,54.821151,43.905521,32.003916,education,0,59.401,60.583,16.26,49.029
C011_019,11,19,0.5625,1839.0,160243.342571,53.928813,0.284877,3269.333333,142,252.444444,6,10.666667,7,12.444444,36,64.0,24,42.666667,2,3.555556,3,5.333333,1,1.777778,63,112.0,390.331056,110.56559,19.941314,381.289653,483.520064,0.0,0.0,0.0,0.016214,0.041422,0.0,0.246379,0.304016,9.23434,16.416604,76,135.111111,8,0.012461,0.036236,6,2.912301,0.673076,Cluster 6 · high building coverage / retail-rich,21841,57.50102,641.581794,8.019772,False,163.808605,2.047608,False,57.50102,0.718763,False,552.107177,6.90134,False,669.664227,8.370803,False,2,7,11,10,24,61,10,18,28,1,1,3,1,1,9,4959668409,1.221093,6.567699,0.288214,7.104476,0.0,,0.963396,7.163551,2.307685,3.627359,60.627268,31.463841,24.030937,healthcare,0,61.765,62.792,17.97,51.176
C011_020,11,20,0.5625,476.0,78203.274337,76.813717,0.139028,846.222222,38,67.555556,2,3.555556,2,3.555556,1,1.777778,5,8.888889,0,0.0,1,1.777778,0,0.0,27,48.0,391.790117,290.758071,575.146159,708.434755,813.63501,0.002477,0.0,0.0,0.0,0.011441,0.0,0.889728,0.903646,6.295661,11.192287,46,81.777778,8,0.012461,0.034855,3,-0.520611,0.953202,Cluster 3 · building-dense / limited recreation POIs,40344,22.611849,1010.971913,12.637149,False,931.006822,11.637585,False,736.499625,9.206245,False,1037.42032,12.967754,False,1269.920495,15.874006,False,0,1,7,0,2,38,1,1,23,0,1,4,0,0,4,8857301686,1.184844,10.665667,1.000037,11.63716,1.06835,8.617255,2.704253,4.795317,2.744414,5.784115,51.892172,58.067652,41.3066,education,0,41.641,41.695,35.498,40.124
C011_021,11,21,0.5625,163.0,40916.897393,88.534543,0.072741,289.777778,5,8.888889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,8.888889,1088.744571,635.190636,507.414119,499.599543,931.601938,0.0,0.0,0.0,0.0,0.025558,0.0,1.0,1.0,4.034543,7.172521,16,28.444444,8,0.012461,0.033096,5,-2.612496,1.459099,Cluster 5 · limited retail / low building coverage,21617,119.144563,1670.489028,20.881113,False,1264.528375,15.806605,False,535.286434,6.69108,False,836.207129,10.452589,False,463.574359,5.794679,False,0,0,2,0,0,16,1,2,14,0,1,4,1,1,2,4901059550,2.362607,8.838166,2.1778,7.258061,0.109413,61.15423,3.882017,2.692567,3.922177,1.477414,29.989632,63.462286,36.804178,education,0,29.565,29.806,24.946,28.495
C011_022,11,22,0.5625,876.0,79378.094766,61.258676,0.141117,1557.333333,8,14.222222,0,0.0,3,5.333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,8.888889,710.445059,140.606848,1002.714031,1004.060781,903.107213,0.0,0.0,0.0,0.0,0.001954,0.0,0.193978,0.195931,2.766457,4.918147,0,0.0,8,0.012461,0.030883,5,-2.448211,1.245026,Cluster 5 · limited retail / low building coverage,42390,56.066497,2013.427315,25.167841,False,56.066497,0.700831,False,1713.457536,21.418219,False,2429.190274,30.364878,False,1989.830939,24.872887,False,0,0,2,1,2,7,0,0,3,0,0,0,0,0,5,4828335696,1.376239,18.287407,0.0,,3.416537,6.268985,4.315602,7.03607,3.62241,6.866393,45.152929,68.69168,46.086455,market,0,41.042,37.562,47.768,41.506
C011_023,11,23,0.5625,138.0,11950.268475,56.068465,0.021245,245.333333,3,5.333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.333333,494.339592,426.320748,924.91874,1206.677716,835.281133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.871079,3.326363,3,5.333333,8,0.012461,0.028346,5,-3.232921,1.551619,Cluster 5 · limited retail / low building coverage,31616,74.47753,638.635695,7.982946,False,878.095281,10.976191,False,1844.281575,23.05352,False,2083.229733,26.040372,False,1599.020064,19.987751,False,1,1,5,0,1,19,0,0,6,0,0,2,0,0,43,7130059727,0.0,,0.479301,22.900416,2.040298,11.299093,2.939363,8.859189,2.246171,8.89859,23.768792,69.828927,37.890066,market,0,23.227,21.82,72.496,35.052
C011_024,11,24,0.5625,561.0,114952.623669,136.105698,0.20436,997.333333,111,197.333333,3,5.333333,12,21.333333,9,16.0,21,37.333333,4,7.111111,0,0.0,0,0.0,62,110.222222,258.057487,179.106757,178.088846,563.360688,347.200999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.581359,8.144637,19,33.777778,8,0.012461,0.025393,3,0.99474,0.660338,Cluster 3 · building-dense / limited recreation POIs,31634,129.220822,258.196484,3.227456,False,258.196484,3.227456,False,415.751155,5.196889,False,781.252903,9.765661,False,513.699126,6.421239,False,6,17,109,18,84,447,15,53,275,1,1,29,5,12,80,11292944919,0.72332,4.462,0.012995,248.364521,0.493805,10.524169,1.437242,6.794724,0.790574,8.122251,43.623639,30.093313,19.914004,park,0,48.826,39.184,63.351,49.083
